pastry,salty snack,whole milk
sausage,semi-finished bread,whole milk,yogurt
pastry,whole milk
bottled water,pork
pip fruit,soda
curd,soda
butter,sweet spreads
condensed milk,rolls/buns,soda,whole milk
rolls/buns,tropical fruit
margarine,specialty bar
butter,whole milk
candy,white bread
frankfurter,herbs
beverages,waffles
house keeping products,yogurt
cat food,pasta,yogurt
hygiene articles,whipped/sour cream
UHT-milk,dishes,other vegetables
meat,whole milk
bottled beer,hamburger meat
coffee,frozen vegetables,pork
shopping bags
dishes,other vegetables,rolls/buns,soda
female sanitary products,hamburger meat,other vegetables,popcorn,tropical fruit
cream cheese ,fish,red/blush wine,tropical fruit
beef,shopping bags
grapes,root vegetables
beverages,chicken,coffee
butter,dog food
soda,whole milk
bottled water,chewing gum
hamburger meat,soda
frankfurter,whipped/sour cream
butter milk,margarine,yogurt
detergent,other vegetables,pork,shopping bags,soft cheese,yogurt
soda
rolls/buns,waffles
sugar,whole milk
chicken,frozen vegetables
other vegetables,whole milk
hamburger meat,pastry
fruit/vegetable juice,soda
bottled beer,oil
citrus fruit,frankfurter,margarine
other vegetables,photo/film
pork,white wine
bottled water,newspapers,soda,yogurt
ham,whole milk
other vegetables,pip fruit
meat spreads,whipped/sour cream
domestic eggs,sliced cheese,soda
pickled vegetables,salty snack
UHT-milk,tropical fruit
chicken,other vegetables
root vegetables,yogurt
bottled water,sausage
other vegetables,root vegetables
dessert,spread cheese
cling film/bags,salty snack,sausage
bottled beer,fruit/vegetable juice,soda
beef,chocolate
hard cheese,whipped/sour cream
beverages,dessert
Instant food products,margarine,root vegetables,tropical fruit,whole milk
sauces,whole milk
frozen fruits,white bread
ham,ketchup,whipped/sour cream
long life bakery product,other vegetables,tropical fruit,whole milk
butter,other vegetables,shopping bags,whole milk,yogurt
citrus fruit,whole milk
candy,rolls/buns
cream cheese ,rolls/buns
root vegetables,whole milk
long life bakery product,other vegetables,root vegetables
long life bakery product,rum,tropical fruit,whole milk
hamburger meat,soda
rolls/buns,tropical fruit
frozen fish,red/blush wine
beef,dessert
frankfurter,tropical fruit
bottled beer,root vegetables
other vegetables,whole milk
oil,shopping bags
tropical fruit,whole milk
hamburger meat,pork
chocolate,coffee,rolls/buns,tropical fruit
soda,yogurt
pork,spread cheese
pork,rolls/buns
brown bread,fruit/vegetable juice
domestic eggs,salt
bottled beer,dishes,sliced cheese,tropical fruit
citrus fruit,red/blush wine
cream cheese ,newspapers
fruit/vegetable juice,roll products ,yogurt
ham,other vegetables
canned beer,frankfurter
brown bread,salt
bottled water,domestic eggs,yogurt
curd,pip fruit,prosecco
brown bread,dishes,finished products
candy,detergent
ketchup,semi-finished bread
oil,shopping bags
instant coffee,misc. beverages
flower (seeds),fruit/vegetable juice
UHT-milk,canned fish
pip fruit,rolls/buns
dishes,frankfurter,frozen meals
bottled water,citrus fruit,frankfurter,fruit/vegetable juice
brown bread,sausage
bottled water,butter,chicken,frankfurter
bottled water,butter,sausage
coffee,ham,whole milk
pasta,pastry
artif. sweetener,canned beer,rolls/buns,soda
brown bread,white bread
butter,other vegetables
rolls/buns,root vegetables
soda,tropical fruit
chicken,soda
coffee,curd,frankfurter,rolls/buns,white bread
bottled water,red/blush wine,sweet spreads
napkins,onions,rolls/buns
canned beer,soda
frozen vegetables,pet care,root vegetables
beverages,yogurt
tropical fruit,whole milk
frankfurter,newspapers,other vegetables,pastry,whole milk
butter milk,coffee
baking powder,bottled beer,specialty bar,tropical fruit,yogurt
bottled water,hygiene articles
beef,margarine,other vegetables
bathroom cleaner,soda,specialty chocolate
hamburger meat,whole milk
pork,sliced cheese
other vegetables,pip fruit
other vegetables,shopping bags,soda
newspapers,yogurt
citrus fruit,root vegetables
rolls/buns,soda
canned beer,herbs,margarine
ice cream,whipped/sour cream
beef,butter,curd,other vegetables,soda
citrus fruit,rolls/buns
beverages,sausage
whole milk
specialty chocolate,white bread
other vegetables,whole milk
ham,white bread
berries,coffee
flower (seeds),jam,soda
chocolate,pip fruit,sausage
cake bar,herbs,pot plants
berries,yogurt
hard cheese,whole milk
baking powder,domestic eggs,meat,other vegetables,tropical fruit
sauces,yogurt
detergent,dishes,napkins,pastry,sausage,specialty chocolate,whisky,yogurt
beef,yogurt
ice cream,whole milk
newspapers,yogurt
frozen vegetables,other vegetables,root vegetables,soda,specialty bar
photo/film,shopping bags
Instant food products,bottled beer,bottled water,domestic eggs,grapes,rolls/buns,salty snack,sausage
bottled beer,frankfurter,other vegetables
dessert,domestic eggs
brown bread,whole milk
pasta,waffles,whole milk
newspapers,salty snack
chocolate marshmallow,other vegetables
detergent,flour,hamburger meat
misc. beverages,root vegetables,sausage,tropical fruit
soda,tropical fruit
sausage,whole milk
shopping bags,yogurt
flour,pickled vegetables
bottled water,domestic eggs,packaged fruit/vegetables,pork
fruit/vegetable juice,pip fruit
cake bar,sausage,whole milk
root vegetables,shopping bags
curd,shopping bags,whipped/sour cream
hard cheese,whole milk
bottled water,frankfurter,whipped/sour cream
curd,soda,tropical fruit,whole milk
citrus fruit,dessert
candy,tropical fruit
cat food,rolls/buns,shopping bags
canned beer,napkins,rolls/buns
canned beer,citrus fruit,frankfurter,hard cheese,specialty chocolate,tropical fruit,whole milk,yogurt
bottled water,cat food,frozen vegetables,root vegetables
grapes,other vegetables
brown bread,pip fruit
instant coffee,root vegetables
pork,spread cheese
hamburger meat,pasta
whole milk,yogurt
butter,butter milk,grapes,hygiene articles,pudding powder,soda
processed cheese,whole milk
brown bread,sparkling wine
other vegetables,rolls/buns,whipped/sour cream
frozen vegetables,root vegetables
candy,white wine
beverages,brown bread,yogurt
detergent,other vegetables,white bread
candles,chicken,pastry
herbs,ice cream
hygiene articles,tea,waffles
cream,yogurt
root vegetables,yogurt
herbs,other vegetables,rolls/buns,yogurt
domestic eggs,yogurt
pork,whole milk
other vegetables,white bread
bottled water,tropical fruit,whole milk,yogurt
beef,newspapers,specialty fat
newspapers,onions
rolls/buns,semi-finished bread
pastry,whole milk
rolls/buns,shopping bags
chicken,liver loaf,rolls/buns,shopping bags,spread cheese
citrus fruit,misc. beverages
citrus fruit,misc. beverages
canned beer,grapes,pastry,whipped/sour cream
frozen potato products,specialty cheese
oil,pastry,salty snack
brown bread,shopping bags,whole milk
chocolate,whole milk
curd,sugar
margarine,pip fruit
pastry,pip fruit,salty snack
citrus fruit,frozen vegetables,margarine
margarine,yogurt
liquor,pickled vegetables
bottled water,chocolate
salty snack,soda
ham,yogurt
baking powder,butter,curd,dishes,margarine,pastry
soda,whole milk
UHT-milk,frozen vegetables,soda,whole milk
other vegetables,whipped/sour cream
bottled water,flour,sugar
beef,semi-finished bread
dish cleaner,ice cream,jam,newspapers
newspapers,whole milk,yogurt
canned beer,curd
domestic eggs,pork,pudding powder
baking powder,bottled beer,specialty bar
brown bread,chocolate,salty snack
root vegetables,shopping bags
citrus fruit,root vegetables
dessert,dog food,sausage,shopping bags
chicken,shopping bags
UHT-milk,misc. beverages,white bread
root vegetables,turkey
butter,other vegetables
whipped/sour cream,yogurt
other vegetables,yogurt
napkins,other vegetables
brown bread,butter milk,canned vegetables,soda
other vegetables,zwieback
brown bread,soda
cream cheese ,hard cheese,liquor,newspapers,other vegetables,root vegetables
bottled water,chicken
beverages,newspapers,rolls/buns,white bread
frankfurter,rolls/buns
meat,whipped/sour cream,whole milk
bottled beer,frozen vegetables,sliced cheese
canned beer,pip fruit,processed cheese
berries,condensed milk
curd,house keeping products,pickled vegetables,rolls/buns
ham,yogurt
butter,hair spray,pastry,whole milk
grapes,whole milk
sugar,tropical fruit
UHT-milk,newspapers,soda,white bread
meat,other vegetables
other vegetables,specialty bar
brown bread,citrus fruit
chocolate marshmallow,condensed milk,pastry,rice,tropical fruit
coffee,shopping bags
chicken,dishes
frozen vegetables,root vegetables
bottled water,citrus fruit
oil,rolls/buns,yogurt
pip fruit,whole milk
cling film/bags,frozen vegetables,rolls/buns
canned vegetables,pork,soda
bottled beer,hygiene articles
soda,yogurt
margarine,rolls/buns,root vegetables
margarine,rolls/buns
condensed milk,shopping bags
pastry,sausage
citrus fruit,popcorn
rolls/buns,whipped/sour cream
long life bakery product,misc. beverages,whole milk
napkins,newspapers,pork,root vegetables
roll products ,soda
citrus fruit,soda
frankfurter,margarine,rolls/buns,shopping bags
UHT-milk,butter,other vegetables,pastry
frozen vegetables,soda,specialty bar
domestic eggs,liquor
frankfurter,white bread
coffee,meat
baking powder,whole milk
flower (seeds),white wine
flower (seeds),frozen meals,grapes
brown bread,shopping bags,tea,yogurt
cream cheese ,specialty chocolate
softener,yogurt
margarine,soda
cream cheese ,tropical fruit
bottled water,dessert,frankfurter,root vegetables
bottled beer,whole milk
other vegetables,rolls/buns,salty snack,semi-finished bread,shopping bags
soda,whole milk
coffee,shopping bags
pastry,yogurt
rice,rolls/buns,sausage
napkins,pork,whole milk
curd,domestic eggs
cream cheese ,newspapers
brown bread,pastry,yogurt
oil,other vegetables
butter,hard cheese
other vegetables,whole milk
butter,dessert,sausage,shopping bags,soda
citrus fruit,flower (seeds)
instant coffee,shopping bags
fruit/vegetable juice,rolls/buns
butter milk,root vegetables
other vegetables,tropical fruit
brown bread,butter milk,tropical fruit
citrus fruit,herbs
beef,other vegetables
tropical fruit,whole milk
canned beer,nut snack
other vegetables,sugar,whole milk
citrus fruit,napkins
butter milk,rolls/buns
root vegetables,whole milk
soft cheese,tropical fruit
brown bread,canned beer,rolls/buns
pickled vegetables,pork
misc. beverages,tropical fruit
curd,frankfurter,other vegetables,photo/film,waffles
cling film/bags,other vegetables,pip fruit
tropical fruit,yogurt
cat food,rolls/buns
rolls/buns,soda,whole milk
berries,white bread
newspapers,soups
napkins,other vegetables
rolls/buns,soda
brown bread,chicken
UHT-milk,soda
pork,soda
oil,pickled vegetables
misc. beverages,spread cheese
soda,sugar,whole milk
coffee,root vegetables
domestic eggs,pork
chicken,domestic eggs,white bread
soda,whipped/sour cream
meat,whole milk
canned beer,fish
hard cheese,root vegetables,white bread
brown bread,other vegetables
bottled beer,soda
root vegetables,tropical fruit
curd,soft cheese
cereals,frozen vegetables,pip fruit,root vegetables
berries,candy,other vegetables,sliced cheese
soda,yogurt
bottled water,shopping bags,waffles
bottled beer,whole milk
margarine,pork
detergent,frozen meals
soda,whole milk
canned fish,specialty chocolate
long life bakery product,root vegetables,soda
other vegetables,soda
pork,yogurt
baking powder,dog food,sausage,shopping bags,sliced cheese,white bread,whole milk,yogurt
pork,tropical fruit
other vegetables,soda
bottled beer,chicken,soda,yogurt
frozen vegetables,seasonal products,yogurt
berries,pip fruit
UHT-milk,bottled water,long life bakery product,rolls/buns
canned beer,sugar
fruit/vegetable juice,other vegetables
curd,soft cheese
berries,pastry,pip fruit
curd cheese,soda
rolls/buns,whole milk
frozen meals,soda
domestic eggs,pork
canned beer,dish cleaner,rolls/buns,tropical fruit
bottled beer,chewing gum,ready soups,whole milk
cake bar,chicken
butter,ice cream
frankfurter,mustard,soft cheese
grapes,whole milk
female sanitary products,rolls/buns
frozen vegetables,other vegetables,root vegetables
canned beer,citrus fruit,sausage,whole milk
pet care,sausage,whole milk,yogurt
house keeping products,whole milk
brandy,frankfurter
berries,other vegetables
beef,curd,frozen meals
UHT-milk,napkins,tropical fruit,whole milk
bottled water,whole milk
citrus fruit,yogurt
cream cheese ,whole milk
butter,other vegetables,rolls/buns,root vegetables
citrus fruit,light bulbs
domestic eggs,frozen vegetables
citrus fruit,soda
whole milk,yogurt
root vegetables,whole milk
frozen meals,shopping bags
beef,bottled beer,coffee,domestic eggs
butter,chewing gum
mustard,pip fruit,tropical fruit
beef,bottled beer,newspapers
other vegetables,spread cheese,whole milk,yogurt
white bread,yogurt
berries,canned beer,fruit/vegetable juice,male cosmetics
coffee,misc. beverages
red/blush wine,salty snack
canned beer,citrus fruit
bottled water,sausage
frozen vegetables,white bread
beef,bottled water,citrus fruit,newspapers,whole milk
other vegetables,sliced cheese
canned vegetables,root vegetables,whole milk
beef,house keeping products
frozen vegetables,whole milk
chocolate,packaged fruit/vegetables,pork
curd,spices
brown bread,root vegetables
bottled water,tropical fruit
other vegetables,rolls/buns
coffee,domestic eggs
herbs,long life bakery product,sweet spreads
UHT-milk,bottled beer,chocolate,whole milk
frankfurter,frozen vegetables
bottled water,liquor
other vegetables,rolls/buns
other vegetables,waffles,white bread,whole milk
napkins
margarine,soda
finished products,newspapers,whipped/sour cream
cleaner,napkins
detergent,soda
bottled beer,cake bar
canned beer,whole milk
chocolate,shopping bags
pip fruit,whipped/sour cream
sparkling wine,whole milk
citrus fruit,whipped/sour cream
bottled water,dog food,pork,rolls/buns,soda,turkey,whole milk
chicken,pip fruit
soda,whipped/sour cream
other vegetables,soda
brown bread,pasta
beverages,specialty chocolate
bottled water,onions
margarine,rolls/buns
newspapers,specialty bar
bottled beer,fruit/vegetable juice,rolls/buns
hard cheese,rolls/buns
citrus fruit,syrup
baking powder,pickled vegetables
cling film/bags,root vegetables
pip fruit,whipped/sour cream
fruit/vegetable juice,rolls/buns,soft cheese
hamburger meat,other vegetables
brown bread,citrus fruit,specialty chocolate
oil,pasta
citrus fruit,shopping bags,soda,white wine,whole milk,yogurt
beef,berries,bottled water,butter,chocolate,yogurt
other vegetables,tropical fruit
bottled water,hard cheese,sugar
soda,whole milk
curd cheese,domestic eggs,frozen potato products
tropical fruit,whole milk
other vegetables,pastry
brown bread,canned beer,dessert,rolls/buns
shopping bags,tropical fruit
coffee,oil
ice cream,other vegetables,pork,salt
bottled water,chocolate,jam
cereals,soda
chicken,frozen meals,napkins
frozen potato products,whole milk
citrus fruit,white bread
bottled beer,dishes,oil,whole milk
mayonnaise,white bread
root vegetables,sausage
butter,mustard
red/blush wine,rolls/buns
baking powder,candy,canned fish
beef,butter milk
hamburger meat,ice cream,shopping bags,soft cheese,whole milk
hamburger meat,pip fruit
domestic eggs,sausage
bottled beer,brown bread,butter,canned beer,cream cheese ,dessert,other vegetables,sausage
brown bread,butter,ham,pastry,root vegetables,spread cheese
beef,newspapers,whole milk
root vegetables,sweet spreads
beef,frozen meals,whole milk
canned beer,frankfurter
chewing gum,ice cream
chocolate,pip fruit,specialty bar
butter,soda
domestic eggs,white bread
detergent,soda
canned fruit,other vegetables,whole milk
soda
citrus fruit,domestic eggs
onions,other vegetables,shopping bags
bottled water,butter milk,cleaner
bottled beer,other vegetables
rolls/buns,soda,whole milk
dessert,tropical fruit
bottled beer,sliced cheese
bottled beer,hamburger meat
pip fruit,rolls/buns,soda
bottled water,soda
specialty chocolate,whipped/sour cream
canned beer,root vegetables
meat spreads,other vegetables
root vegetables
sparkling wine,waffles
berries,white bread
citrus fruit,hamburger meat,other vegetables,specialty chocolate
brown bread,pastry
butter,fruit/vegetable juice,seasonal products
shopping bags,soda
citrus fruit,root vegetables
bottled water,honey,whole milk
napkins,pip fruit
butter,coffee,pastry,soda
butter,shopping bags
soft cheese,whole milk
finished products,liquor
pip fruit,shopping bags
domestic eggs,newspapers
bottled beer,candy,mayonnaise,rolls/buns
pip fruit,waffles
brown bread,whole milk
beef,whipped/sour cream
chocolate,sausage
citrus fruit,yogurt
citrus fruit,misc. beverages,packaged fruit/vegetables,root vegetables,sliced cheese,whipped/sour cream,yogurt
citrus fruit,napkins
frozen fish,specialty chocolate
newspapers,other vegetables,specialty chocolate
grapes,rolls/buns
beverages,sausage
popcorn,rolls/buns,white bread,whole milk
bottled water,canned vegetables,flour,salty snack,sugar
brown bread,detergent
citrus fruit,root vegetables
candy,canned fish,dessert,rolls/buns
candles,whole milk
coffee,misc. beverages
coffee,oil
roll products ,yogurt
rolls/buns,yogurt
curd cheese,root vegetables,semi-finished bread,soda
chocolate,softener
beverages,soda
root vegetables,yogurt
waffles,whole milk
pastry,rolls/buns
bottled beer,chicken,grapes,root vegetables
pip fruit,sliced cheese
oil,whole milk
bottled water,curd,ready soups,white bread
chewing gum,whole milk,yogurt
candles,hygiene articles,tropical fruit
cat food,sausage
other vegetables,pastry,rolls/buns,sausage,soda,softener,sugar,whole milk
ham,pickled vegetables,shopping bags
semi-finished bread,whole milk,yogurt
frankfurter,whole milk
bottled water,soft cheese
beef,pork,yogurt
frozen meals,rolls/buns
misc. beverages,shopping bags
butter milk,tropical fruit
shopping bags,yogurt
brown bread,ham
dessert,sausage
fruit/vegetable juice,long life bakery product,specialty cheese
butter,margarine
domestic eggs,finished products
specialty bar,whole milk
butter,frankfurter,specialty bar,yogurt
UHT-milk,other vegetables
rolls/buns,salty snack,specialty bar,tropical fruit
beef,domestic eggs
salt,tropical fruit
cat food,tropical fruit
other vegetables,root vegetables
domestic eggs,fruit/vegetable juice
beef,brown bread,chicken,dessert,margarine,newspapers,pork
bottled beer,citrus fruit
syrup,waffles
chicken,meat,pip fruit,yogurt
sauces,yogurt
grapes,root vegetables,shopping bags
other vegetables,pip fruit,semi-finished bread,sliced cheese
citrus fruit,long life bakery product
onions,turkey
brown bread,canned beer
bottled water,napkins,pastry,root vegetables,soda,specialty fat,tropical fruit,whole milk
sugar,whole milk
bottled water,citrus fruit,grapes
dog food,pastry,whole milk
citrus fruit
cling film/bags,curd,meat
frozen meals,pork
fruit/vegetable juice,other vegetables
butter,sausage,whole milk,yogurt
frozen fish,rolls/buns,tropical fruit
candles,meat,tropical fruit,whole milk
instant coffee,red/blush wine
brown bread,canned beer
pasta,sausage
canned beer,chocolate,margarine
butter milk,dental care,napkins,onions,rice,rolls/buns,specialty chocolate
pastry,waffles
frankfurter,ice cream
bottled water,sugar
canned beer,coffee
condensed milk,onions
UHT-milk,butter,citrus fruit
flour,packaged fruit/vegetables
citrus fruit,semi-finished bread,yogurt
ham,rum
UHT-milk,cooking chocolate
sausage,specialty chocolate
curd,whole milk
pastry,rolls/buns
jam,white bread
butter milk,seasonal products,soda
detergent,flour,shopping bags,whole milk
bottled beer,dessert,other vegetables,sliced cheese
brown bread,photo/film
hard cheese,pastry
beef,citrus fruit,domestic eggs,long life bakery product,soda,specialty bar,vinegar,white bread
whipped/sour cream,yogurt
beverages,bottled beer,photo/film
brown bread,mustard
beef,frozen potato products,white bread
ham,newspapers,whipped/sour cream
canned beer,sliced cheese
canned beer,soda
butter milk,soda
other vegetables,whole milk
domestic eggs,ham
frankfurter,misc. beverages,pastry
margarine,yogurt
hard cheese,soda
ice cream,onions
photo/film,whipped/sour cream,white wine
detergent,grapes
root vegetables,sausage
flour,pork,sliced cheese
canned beer,pasta
bottled beer,rolls/buns
bottled water,butter,grapes
UHT-milk,curd
shopping bags,whipped/sour cream
other vegetables,rolls/buns
canned beer,margarine,rolls/buns,salty snack,soda,waffles,whipped/sour cream
chicken,whole milk
butter milk,other vegetables
bottled water,margarine,root vegetables
coffee,shopping bags,yogurt
curd,pastry
root vegetables,salty snack
butter,roll products 
bottled beer,canned beer
abrasive cleaner,curd,other vegetables
condensed milk,other vegetables
bottled water,soda
dog food,processed cheese
bottled beer,sausage,spread cheese
shopping bags,waffles
dishes,newspapers,pip fruit
cling film/bags,whole milk
butter milk,hard cheese
cleaner,misc. beverages
citrus fruit,other vegetables
cream cheese ,other vegetables,pork
beverages,sugar
hard cheese,rolls/buns
ham,other vegetables,soda,sugar,tropical fruit,white bread,whole milk
frankfurter,margarine
meat,soda
roll products ,waffles
condensed milk,whole milk
processed cheese,sausage
whipped/sour cream,yogurt
bottled beer,bottled water,finished products,yogurt
brown bread,tropical fruit
hard cheese,onions
shopping bags,soda
baking powder,frozen fish,frozen vegetables,oil,other vegetables,rolls/buns,sausage,whole milk
margarine,oil
specialty cheese,whole milk
long life bakery product,pasta,soda,specialty chocolate
meat,other vegetables,pasta
butter,chocolate
citrus fruit,other vegetables
frozen meals,sausage
bottled beer,bottled water,dog food,sausage
beverages,domestic eggs,pasta,sugar
shopping bags,tropical fruit
cling film/bags,soda
UHT-milk,soft cheese
candy,soda
bottled water,rolls/buns,salty snack,shopping bags
onions,soft cheese
coffee,white bread
condensed milk,dessert,rolls/buns,shopping bags
canned fruit,processed cheese,shopping bags,soda
grapes,other vegetables
rolls/buns,tropical fruit
shopping bags,turkey
whipped/sour cream,yogurt
canned beer,yogurt
berries,tropical fruit
UHT-milk,other vegetables
butter,candy
frozen vegetables,other vegetables
butter,chicken
margarine
citrus fruit,skin care
frozen vegetables,root vegetables
dessert,packaged fruit/vegetables
pip fruit,tropical fruit
beef,curd
frankfurter,whole milk
citrus fruit,coffee
bottled beer,frozen meals,soda
chewing gum,other vegetables
canned beer,dessert,fruit/vegetable juice
grapes,other vegetables
chicken,pastry
dishes,pork,pot plants,soda,turkey,whole milk
liqueur,pastry
baking powder,processed cheese,sausage,specialty cheese
ham,napkins
specialty bar,specialty chocolate,white wine
red/blush wine,soda
coffee,tea
other vegetables,sugar
berries,domestic eggs
coffee,sausage
UHT-milk,butter,herbs,oil
cream cheese ,frozen dessert
rolls/buns,yogurt
coffee,yogurt
frozen vegetables,fruit/vegetable juice,rolls/buns,whipped/sour cream
shopping bags,whole milk
coffee,hamburger meat
berries,fruit/vegetable juice
ice cream,whole milk
grapes,napkins,sausage,sliced cheese
pork,root vegetables
curd,sausage
pip fruit,shopping bags
canned vegetables,domestic eggs,flower (seeds),whole milk
flour,hard cheese,rolls/buns
frozen meals,organic sausage,sugar
onions,pickled vegetables,whole milk
citrus fruit,other vegetables
bottled beer,frozen meals
butter,tropical fruit,white bread
mayonnaise,other vegetables,sausage,tropical fruit
specialty bar,tropical fruit
bottled water,pastry
curd,sugar
semi-finished bread,soda,tropical fruit,yogurt
other vegetables,soda,whole milk
UHT-milk,canned fish,root vegetables,waffles
domestic eggs,hamburger meat,other vegetables
chicken,citrus fruit,cream cheese ,curd,other vegetables,pastry,pip fruit,specialty chocolate
pork,yogurt
red/blush wine,shopping bags,tropical fruit
brown bread,pork
other vegetables,sliced cheese
butter,whole milk
brown bread,margarine,other vegetables
misc. beverages,whole milk
sauces,white wine
canned fish,oil
rolls/buns,seasonal products
root vegetables,tropical fruit
canned fruit,frozen meals,red/blush wine
butter milk,liquor,other vegetables,whole milk
other vegetables,softener,whole milk
cake bar,flower soil/fertilizer
cereals,citrus fruit
napkins,pork
cleaner,specialty bar
pastry,pork
artif. sweetener,whole milk
cream cheese ,tidbits
dessert,rolls/buns
coffee,other vegetables,specialty cheese
butter milk,domestic eggs,frozen potato products,shopping bags
citrus fruit,pastry
butter,ice cream
dental care,rolls/buns
mustard,onions,sausage
citrus fruit,salt
butter,dessert,root vegetables
curd,hygiene articles
other vegetables,whole milk
specialty chocolate,white bread
dessert,house keeping products
hard cheese,yogurt
bottled beer,rolls/buns,sausage,whole milk
cream cheese ,semi-finished bread,whole milk
condensed milk,hard cheese
brown bread,butter
frankfurter,shopping bags
dessert,photo/film,pot plants,white bread,whole milk,yogurt
other vegetables,whipped/sour cream
rolls/buns,sausage
newspapers,root vegetables
citrus fruit,hamburger meat,photo/film
meat,root vegetables
bottled water,butter,canned beer,cookware,frozen vegetables,ice cream,other vegetables
butter,oil
pastry,sliced cheese
chicken,soda
ham,root vegetables
rolls/buns,sausage,tropical fruit,yogurt
beverages,citrus fruit,sausage,whole milk
